Date,Open,High,Low,Close,Volume
12-02-2021,46.25,46.86,43.27,45.39,"83,48,400"
12-01-2021,49.85,50.03,44.25,44.96,"94,22,140"
11/30/2021,50.03,50.99,47,49.05,"68,95,796"
11/29/2021,51,51.98,50.24,50.5,"44,35,376"
11/26/2021,52.02,52.93,49.8,49.93,"49,41,108"
11/24/2021,54.31,56,52,52.95,"52,37,552"
11/23/2021,60.96,63.05,53.14,53.48,"1,34,06,544"
11/22/2021,57.62,62.41,57.44,61.89,"1,75,18,416"
11/19/2021,52.29,57.35,52.06,57.2,"1,21,74,880"
11/18/2021,52.56,53.78,51.88,52.53,"40,23,100"
11/17/2021,51.58,54.43,51.5,52.5,"54,10,856"
11/16/2021,52.26,53.14,50.91,51.8,"48,58,384"
11/15/2021,50.97,52.88,50.42,52.29,"58,65,696"
11-12-2021,50.54,51.34,49.47,50.53,"37,11,964"
11-11-2021,50,52.02,49.54,51.08,"43,17,604"
11-10-2021,50.53,51.85,49.13,49.8,"52,37,556"
11-09-2021,55.5,55.87,51.11,51.65,"73,81,192"
11-08-2021,53.13,56.26,53,54.66,"86,31,648"
11-05-2021,55.16,55.25,52.25,53.31,"72,42,868"
11-04-2021,55.5,57.24,52.89,54.46,"1,16,31,904"
11-03-2021,53.5,63.92,52.06,54.58,"4,50,62,360"
11-02-2021,49.84,52.98,47.92,51.75,"1,55,29,344"
11-01-2021,45.63,52.14,45.51,50.02,"1,97,76,812"
10/29/2021,45.7,46.44,44.5,45.88,"91,75,880"
10/28/2021,43.79,45.79,43.75,45.71,"67,84,824"
10/27/2021,45,45.77,43.08,43.38,"44,27,992"
10/26/2021,43.34,46.25,43.13,44.46,"87,06,996"
10/25/2021,42.36,43.7,41.82,43.49,"57,71,224"
10/22/2021,44.53,44.87,41.95,42.45,"1,12,01,772"
10/21/2021,46.18,47.67,45.15,45.43,"96,09,472"
10/20/2021,46.58,47,45.5,46.13,"91,07,612"
10/19/2021,47.25,48.05,46.1,46.7,"82,82,472"
10/18/2021,45.74,47.47,45.64,46.51,"63,58,592"
10/15/2021,46,46.75,45.22,45.82,"47,99,908"
10/14/2021,45.94,47.55,45.65,45.96,"67,04,032"
10/13/2021,44.58,47.05,44,46.02,"77,20,956"
10-12-2021,45.13,45.45,43.45,43.96,"49,34,608"
10-11-2021,43.25,47.12,43.25,44.53,"1,07,39,420"
10-08-2021,43.13,43.93,42.78,43.17,"32,72,828"
10-07-2021,43,43.8,42.64,43.03,"46,37,304"
10-06-2021,42.52,43.24,41.45,42.77,"48,01,280"
10-05-2021,42.8,43.29,41.68,43.05,"52,63,416"
10-04-2021,43.99,44.24,42.69,42.84,"47,82,952"
10-01-2021,44.85,44.87,43.06,44.23,"62,04,556"
09/30/2021,43.75,46.36,41.7,43.87,"1,27,09,812"
09/29/2021,45.02,46.12,43.65,43.98,"75,99,732"
09/28/2021,47,47.7,44.5,44.65,"70,81,972"
09/27/2021,46.48,48.01,46.47,47.37,"58,80,584"
09/24/2021,47.75,47.93,46.03,46.29,"67,43,036"
